detailed_work_activity,impact,intermediate_work_activity,element
Prepare research or technical reports on environmental issues.,-0.20476643398203942,Present research or technical information.,Documenting/Recording Information
Prepare research or technical reports.,0.13227213034514573,Present research or technical information.,Documenting/Recording Information
Prepare research reports.,0.4637217719489528,Present research or technical information.,Documenting/Recording Information
Prepare sales or other contracts.,0.38546903905554464,"Prepare documentation for contracts, applications, or permits.",Documenting/Recording Information
Prepare scientific or technical reports or presentations.,-1.78154013751187,Present research or technical information.,Documenting/Recording Information
Prepare staff schedules or work assignments.,0.3353143786928694,Assign work to others.,"Guiding, Directing, and Motivating Subordinates"
Prepare surfaces for finishing.,-0.08028362997353211,Perform general construction or extraction activities.,Performing General Physical Activities
Prepare technical or operational reports.,0.06384065926912363,Present research or technical information.,Documenting/Recording Information
Prepare technical reports for internal use.,0.27652973137076975,Present research or technical information.,Documenting/Recording Information
Prepare tests.,-0.024499261264677052,"Assess student capabilities, needs, or performance.","Judging the Qualities of Things, Services, or People"
Prepare written decisions for legal proceedings.,-0.11837818101159225,Record information about legal matters.,Documenting/Recording Information
Prescribe assistive medical devices or related treatments.,-0.14181534502841098,Prescribe medical treatments or devices.,Monitoring and Controlling Resources
Prescribe medications.,-0.8727567210810809,Prescribe medical treatments or devices.,Monitoring and Controlling Resources
Prescribe treatments or therapies.,0.1564179358887534,Prescribe medical treatments or devices.,Monitoring and Controlling Resources
Present business-related information to audiences.,0.07755067018584372,"Provide information to guests, clients, or customers.",Communicating with Persons Outside Organization
Present food or beverage information or menus to customers.,0.11779458017802469,"Provide information to guests, clients, or customers.",Communicating with Persons Outside Organization
Present information to the public.,-0.23328402917787106,Provide information or assistance to the public.,Communicating with Persons Outside Organization
Present medical research reports.,-0.3960377577046663,Present research or technical information.,Documenting/Recording Information
Present research results to others.,-0.09024489411814152,Present research or technical information.,Documenting/Recording Information
Present social services program information to the public.,-0.10708891891907601,Provide information or assistance to the public.,Communicating with Persons Outside Organization
Present sustainable products or services information to the public.,-0.012220398770675267,Provide information or assistance to the public.,Communicating with Persons Outside Organization
Present work to clients for approval.,0.3924836660107034,Explain technical details of products or services.,Interpreting the Meaning of Information for Others
Prevent unauthorized individuals from entering restricted areas.,0.022276038005713872,Maintain safety or security.,Performing General Physical Activities
Process animal carcasses.,-0.17115836759962555,Process animal carcasses.,Handling and Moving Objects
Process customer bills or payments.,-0.04625745454947516,Execute financial transactions.,Performing Administrative Activities
Process forensic or legal evidence in accordance with procedures.,-0.012562464564584097,Process forensic or legal evidence.,Performing Administrative Activities
Process healthcare paperwork.,0.19947457735383045,Perform administrative or clerical activities.,Performing Administrative Activities
Process library materials.,0.020409415487921745,Perform administrative or clerical activities.,Performing Administrative Activities
Process medical billing information.,0.24542207198222554,Execute financial transactions.,Performing Administrative Activities
Process sales or other transactions.,-0.3519187218308275,Execute financial transactions.,Performing Administrative Activities
Process x-rays or other medical images.,-0.019653701917122124,Operate medical equipment.,Controlling Machines and Processes
Program equipment to perform production tasks.,0.2582542934776031,Program computer systems or production equipment.,Interacting With Computers
Program robotic equipment.,0.04138448046478915,Program computer systems or production equipment.,Interacting With Computers
Promote agricultural or hunting activities.,-0.049350577931602135,"Promote products, services, or programs.",Selling or Influencing Others
Promote educational institutions or programs.,0.27810585850479796,"Promote products, services, or programs.",Selling or Influencing Others
Promote environmental sustainability or conservation initiatives.,-0.07363629522231951,"Promote products, services, or programs.",Selling or Influencing Others
"Promote products, activities, or organizations.",1.438260110736171,"Promote products, services, or programs.",Selling or Influencing Others
"Promote products, services, or programs.",0.19068493946023723,"Promote products, services, or programs.",Selling or Influencing Others
"Proofread documents, records, or other files to ensure accuracy.",0.2047864023018504,Examine materials or documentation for accuracy or compliance.,Evaluating Information to Determine Compliance with Standards
Protect patients or staff members using safety equipment.,0.006729978000930892,Follow standard healthcare safety procedures to protect patient and staff members.,Evaluating Information to Determine Compliance with Standards
Protect property from fire or water damage.,0.033395617249480924,Protect people or property from threats such as fires or flooding.,Performing General Physical Activities
Protect structures or surfaces near work areas to avoid damage.,0.014607694136616445,Set up protective structures or coverings near work areas.,Performing General Physical Activities
Protect wildlife or natural areas.,-0.11910447591458695,Develop systems or practices to mitigate or resolve environmental problems.,Thinking Creatively
Provide attraction or event information to patrons.,-0.048265854338816805,"Provide information to guests, clients, or customers.",Communicating with Persons Outside Organization
Provide basic health care services.,0.02745399023918793,Administer basic health care or medical treatments.,Assisting and Caring for Others
"Provide basic information to guests, visitors, or clients.",0.23042529876709406,"Provide information to guests, clients, or customers.",Communicating with Persons Outside Organization
Provide care for animals.,-0.2907450002969374,Care for plants or animals.,Assisting and Caring for Others
"Provide counsel, comfort, or encouragement to individuals or families.",0.007531232265992838,Counsel others about personal matters.,Provide Consultation and Advice to Others
Provide customer service to clients or users.,-0.01756746268627074,"Provide information to guests, clients, or customers.",Communicating with Persons Outside Organization
Provide customers with general information or assistance.,0.09928136621438366,"Provide information to guests, clients, or customers.",Communicating with Persons Outside Organization
Provide educational information to the public.,-0.13272043920330479,Provide information or assistance to the public.,Communicating with Persons Outside Organization
Provide educational materials to community members.,0.004339451982574349,"Distribute materials, supplies, or resources.",Monitoring and Controlling Resources
Provide escort or transportation.,0.12096034197302785,Escort others.,Performing General Physical Activities
Provide first aid or rescue assistance in emergencies.,-0.2882464889144014,Administer emergency medical treatment.,Assisting and Caring for Others
Provide for basic needs of children.,0.03424545820729463,Assist individuals with special needs.,Assisting and Caring for Others
"Provide health and wellness advice to patients, program participants, or caregivers.",0.3636369255263525,Advise patients or clients on medical issues.,Provide Consultation and Advice to Others
Provide information about landscaping services or costs.,-0.05675450913458269,Explain technical details of products or services.,Interpreting the Meaning of Information for Others
Provide information to coworkers.,1.1158010800127576,Communicate with others about operational plans or activities.,"Communicating with Supervisors, Peers, or Subordinates"
Provide information to the general public.,0.19505496355430862,Provide information or assistance to the public.,Communicating with Persons Outside Organization
Provide legal advice to clients.,0.32093392160977174,Advise others on legal or regulatory matters.,Provide Consultation and Advice to Others
Provide medical or cosmetic advice for clients.,0.11882004438481353,Advise patients or clients on medical issues.,Provide Consultation and Advice to Others
Provide notifications to customers or patrons.,0.03265782607570333,"Provide information to guests, clients, or customers.",Communicating with Persons Outside Organization
Provide patrons with directions to locales or attractions.,-0.130602637025643,"Provide information to guests, clients, or customers.",Communicating with Persons Outside Organization
Provide recommendations to others about computer hardware.,0.15773049120477278,Advise others on the design or use of technologies.,Provide Consultation and Advice to Others
Provide safety training.,-0.035594250915640835,Teach safety procedures or standards to others.,Training and Teaching Others
"Provide security escorts for officials, jury members, or other individuals.",-0.015099836148421808,Maintain safety or security.,Performing General Physical Activities
Provide technical guidance to other personnel.,-0.10525837242196401,Advise others on the design or use of technologies.,Provide Consultation and Advice to Others
Provide technical information or assistance to public.,0.1872747043338352,Provide information or assistance to the public.,Communicating with Persons Outside Organization
Provide technical support for computer network issues.,-0.020219664561262007,Advise others on the design or use of technologies.,Provide Consultation and Advice to Others
Provide technical support for software maintenance or use.,-0.06670461550158757,Advise others on the design or use of technologies.,Provide Consultation and Advice to Others
Provide transportation information to passengers or customers.,-0.21421165399133013,"Provide information to guests, clients, or customers.",Communicating with Persons Outside Organization
"Purchase materials, equipment, or other resources.",0.662701065494506,Purchase goods or services.,Monitoring and Controlling Resources
Purchase products or services.,-0.24677982551013145,Purchase goods or services.,Monitoring and Controlling Resources
Purchase stocks of merchandise or supplies.,0.03007276233520839,Purchase goods or services.,Monitoring and Controlling Resources
Read documents to gather technical information.,0.024197924880675625,Read documents or materials to inform work processes.,Getting Information
Read maps to determine routes.,-0.05731057253318994,Read documents or materials to inform work processes.,Getting Information
Read materials to determine needed actions.,-0.015764529553440987,Read documents or materials to inform work processes.,Getting Information
Read technical information needed to perform maintenance or repairs.,-0.24755525886061625,Read documents or materials to inform work processes.,Getting Information
Read to students.,-0.025626462046349996,Teach academic or vocational subjects.,Training and Teaching Others
Read work orders or descriptions of problems to determine repairs or modifications needed.,0.04809446780478677,Read documents or materials to inform work processes.,Getting Information
Read work orders or other instructions to determine product specifications or materials requirements.,0.10452611723946825,Read documents or materials to inform work processes.,Getting Information
Read work orders to determine material or setup requirements.,-0.09744082348291672,Read documents or materials to inform work processes.,Getting Information
Reassemble equipment after repair.,0.2582448324906812,Assemble equipment or components.,Handling and Moving Objects
Rebuild parts or components.,-0.0447573117481026,Repair vehicle components.,Repairing and Maintaining Mechanical Equipment
Receive information or instructions for performing work assignments.,-0.3715966111700095,Communicate with others about operational plans or activities.,"Communicating with Supervisors, Peers, or Subordinates"
Receive shipments.,0.09918196114386957,Process shipments or mail.,Performing Administrative Activities
Recommend changes or corrective procedures.,0.06320894333978266,Advise others on business or operational matters.,Provide Consultation and Advice to Others
Recommend changes to improve computer or information systems.,0.1157021937827225,Advise others on the design or use of technologies.,Provide Consultation and Advice to Others
Recommend improvements to increase safety or reduce risks.,-0.060012750181394736,Advise others on workplace health or safety issues.,Provide Consultation and Advice to Others
Recommend investments to clients.,0.5516841986016141,Advise others on financial matters.,Provide Consultation and Advice to Others
Recommend legal actions.,-0.006421830826989439,Advise others on legal or regulatory matters.,Provide Consultation and Advice to Others
Recommend organizational process or policy changes.,0.04312680003268099,Advise others on business or operational matters.,Provide Consultation and Advice to Others
Recommend packing or shipping methods.,0.012818873764967265,Advise others on business or operational matters.,Provide Consultation and Advice to Others
Recommend personnel decisions or human resources activities.,-0.028082229884906607,Advise others on business or operational matters.,Provide Consultation and Advice to Others
Recommend products or services to customers.,0.2051469443570917,Advise others on products or services.,Provide Consultation and Advice to Others
"Recommend technical design or process changes to improve efficiency, quality, or performance.",-0.41244623427966776,Advise others on business or operational matters.,Provide Consultation and Advice to Others
Recommend types of assistive devices.,0.0667162583576566,Advise others on products or services.,Provide Consultation and Advice to Others
Reconcile records of sales or other financial transactions.,-0.0989941360779869,Reconcile financial data.,Processing Information
Record agricultural or forestry inventory data.,-0.29883476023054234,Maintain operational records.,Documenting/Recording Information
Record crime or accident scene evidence with video or still cameras.,0.1565620369290457,Record images with photographic or audiovisual equipment.,Documenting/Recording Information
Record details of deliveries or shipments.,-0.03803330509587566,Maintain operational records.,Documenting/Recording Information
Record images needed to address work issues.,0.015988776830262896,Record images with photographic or audiovisual equipment.,Documenting/Recording Information
Record information about environmental conditions.,-0.09865616437272218,Record information about environmental conditions.,Documenting/Recording Information
Record information about legal matters.,-0.12245156065811003,Record information about legal matters.,Documenting/Recording Information
"Record information about parts, materials or repair procedures.",-0.2207046242993531,Maintain operational records.,Documenting/Recording Information
Record information about suspects or criminals.,-0.14599233044106485,Record information about legal matters.,Documenting/Recording Information
Record information about suspicious objects.,0.023203508660211813,Record information about legal matters.,Documenting/Recording Information
Record information from legal proceedings.,0.005062306507350733,Record information about legal matters.,Documenting/Recording Information
Record information from meetings or other formal proceedings.,0.04377447967121473,Maintain operational records.,Documenting/Recording Information
Record operational details of travel.,0.5459925619437818,Maintain operational records.,Documenting/Recording Information
Record operational or environmental data.,0.2339712492056667,Maintain operational records.,Documenting/Recording Information
Record operational or production data.,5.138489161741714,Maintain operational records.,Documenting/Recording Information
Record patient medical histories.,0.6104120584602901,Maintain health or medical records.,Documenting/Recording Information
Record personnel information.,0.26047044707774214,Maintain operational records.,Documenting/Recording Information
Record production information.,-0.0740187363053404,Maintain operational records.,Documenting/Recording Information
Record research or operational data.,-0.7735186107884187,Maintain operational records.,Documenting/Recording Information
Record sales or transactions data.,0.014829888903715727,Maintain sales or financial records.,Documenting/Recording Information
Record service or repair activities.,0.09485371394272502,Maintain operational records.,Documenting/Recording Information
Record shipping information.,0.030055985733386414,Maintain operational records.,Documenting/Recording Information
Record vital statistics or other health information.,-0.13406698560323527,Maintain health or medical records.,Documenting/Recording Information
Recruit personnel.,0.7989677206252948,Perform recruiting or hiring activities.,Staffing Organizational Units
Refer clients to community or social service programs.,-0.10452438066612535,Assist others to access additional services or resources.,Assisting and Caring for Others
Refer customers to appropriate personnel.,0.11402377171652178,Assist others to access additional services or resources.,Assisting and Caring for Others
Refer individuals to educational or work programs.,0.11283155530610323,Assist others to access additional services or resources.,Assisting and Caring for Others
Refer patients to other healthcare practitioners or health resources.,0.4034507601526336,Assist others to access additional services or resources.,Assisting and Caring for Others
Refinish wood or metal surfaces.,0.10351210793835008,Apply protective solutions or coatings.,Handling and Moving Objects
Relay information about incidents or emergencies to personnel using phones or two-way radios.,0.021785783757758193,Notify others of emergencies or problems.,"Communicating with Supervisors, Peers, or Subordinates"
Relay information between personnel.,0.18067994246306407,Communicate with others about operational plans or activities.,"Communicating with Supervisors, Peers, or Subordinates"
"Remove accessories, tools, or other parts from equipment.",0.19336009213588712,Disassemble equipment.,Handling and Moving Objects
Remove debris from work sites.,0.1499762292723381,Dispose of waste or debris.,Performing General Physical Activities
Remove debris or damaged materials.,-0.00882070563232773,Dispose of waste or debris.,Performing General Physical Activities
Remove debris or vegetation from work sites.,-0.2210104327402318,Dispose of waste or debris.,Performing General Physical Activities
"Remove dents from equipment, materials, tools or structures.",-0.304399384569221,Smooth surfaces of objects or equipment.,Handling and Moving Objects
Remove excess materials from finished construction projects.,-0.01361396234654011,Dispose of waste or debris.,Performing General Physical Activities
Remove parts or components from equipment.,0.08889374655261406,Disassemble equipment.,Handling and Moving Objects
Remove parts or components from vehicles.,-0.08889032739153802,Disassemble equipment.,Handling and Moving Objects
Remove products or workpieces from production equipment.,0.6449941223693494,Remove workpieces from production equipment.,Handling and Moving Objects
Remove skin or other body parts from animals.,0.3728691992219435,Process animal carcasses.,Handling and Moving Objects
Remove snow.,0.08021344558329391,"Clean tools, equipment, facilities, or work areas.",Performing General Physical Activities
Remove trash.,-0.00232787732794959,Dispose of waste or debris.,Performing General Physical Activities
Remove workpieces from molds.,0.1827107011287885,Remove workpieces from production equipment.,Handling and Moving Objects
"Remove worn, damaged or outdated materials from work areas.",-0.19000365325320168,Dispose of waste or debris.,Performing General Physical Activities
Repair defective engines or engine components.,-0.00767911071475913,Repair vehicle components.,Repairing and Maintaining Mechanical Equipment
Repair electrical circuits or wiring.,-0.009686713667552915,Repair electrical or electronic equipment.,Repairing and Maintaining Mechanical Equipment
Repair electrical components.,0.05322019550476975,Repair electrical or electronic equipment.,Repairing and Maintaining Mechanical Equipment
Repair electrical equipment.,0.05521084110612362,Repair electrical or electronic equipment.,Repairing and Maintaining Mechanical Equipment
Repair electronic equipment.,0.2100169471863631,Repair electrical or electronic equipment.,Repairing and Maintaining Mechanical Equipment
Repair furniture or upholstery.,0.3243503853744678,Repair workpieces or products.,Repairing and Maintaining Mechanical Equipment
Repair green energy equipment or systems.,0.044269610758512545,Repair tools or equipment.,Repairing and Maintaining Mechanical Equipment
Repair medical facility equipment.,-0.010947584214716422,Maintain medical equipment or instruments.,Repairing and Maintaining Mechanical Equipment
Repair medical or dental assistive devices.,0.029695914283312863,Maintain medical equipment or instruments.,Repairing and Maintaining Mechanical Equipment
Repair non-engine automotive or vehicle components.,0.19802263638543538,Repair vehicle components.,Repairing and Maintaining Mechanical Equipment
Repair parts or assemblies.,-0.005965728491928335,Repair workpieces or products.,Repairing and Maintaining Mechanical Equipment
Repair pipes to stop leaking.,-0.14553394998776792,Maintain facilities or equipment.,Repairing and Maintaining Mechanical Equipment
Repair precision devices or workpieces.,-0.022009740325985128,Repair workpieces or products.,Repairing and Maintaining Mechanical Equipment
Repair production equipment or tools.,-0.185540387250978,Repair tools or equipment.,Repairing and Maintaining Mechanical Equipment
Repair structural components.,0.24106880320017288,Maintain facilities or equipment.,Repairing and Maintaining Mechanical Equipment
"Repair templates, patterns, or molds.",-0.03886106009293977,Repair workpieces or products.,Repairing and Maintaining Mechanical Equipment
Repair textiles or apparel.,-0.22713413458605647,Sew garments or materials.,Handling and Moving Objects
Repair tires.,0.0055967003104719915,Repair vehicle components.,Repairing and Maintaining Mechanical Equipment
"Repair worn, damaged, or defective mechanical parts.",-0.10461552132036811,Repair tools or equipment.,Repairing and Maintaining Mechanical Equipment
Replace vehicle glass.,0.08241055585028834,Repair vehicle components.,Repairing and Maintaining Mechanical Equipment
Replace worn equipment components.,-0.5099914880667731,Repair tools or equipment.,Repairing and Maintaining Mechanical Equipment
"Replace worn, damaged, or defective mechanical parts.",0.1104185221564018,Repair tools or equipment.,Repairing and Maintaining Mechanical Equipment
Report information to managers or other personnel.,0.032026272889499996,Communicate with others about operational plans or activities.,"Communicating with Supervisors, Peers, or Subordinates"
Report maintenance or equipment problems to appropriate personnel.,0.4054518142783321,Notify others of emergencies or problems.,"Communicating with Supervisors, Peers, or Subordinates"
Report news to the public.,-0.27868571767108063,Provide information or assistance to the public.,Communicating with Persons Outside Organization
Report vehicle or equipment malfunctions.,-0.0379971739223941,Notify others of emergencies or problems.,"Communicating with Supervisors, Peers, or Subordinates"
Represent the interests of clients in legal proceedings.,-1.0351864979614143,Present information in legal proceedings.,Communicating with Persons Outside Organization
Represent the organization in external relations.,-0.9594619884949913,"Coordinate activities with clients, agencies, or organizations.","Communicating with Supervisors, Peers, or Subordinates"
Request emergency personnel.,0.019285227188538645,Notify others of emergencies or problems.,"Communicating with Supervisors, Peers, or Subordinates"
Rescue people from hazardous situations.,0.1353523869075377,Intervene in crisis situations or emergencies.,Assisting and Caring for Others
Research advanced engineering designs or applications.,-0.07274541337632145,Research technology designs or applications.,Getting Information
Research crop management methods.,-0.000782100436648836,Research agricultural processes or practices.,Getting Information
Research design or application of green technologies.,0.07066764642013812,Research technology designs or applications.,Getting Information
Research diseases or parasites.,0.01092863556015411,Research biological or ecological phenomena.,Getting Information
"Research energy production, use, or conservation.",-0.051719411215890965,Research technology designs or applications.,Getting Information
Research engineering applications of emerging technologies.,0.0,Research technology designs or applications.,Getting Information
Research engineering aspects of biological or chemical processes.,0.18040606822655247,Research technology designs or applications.,Getting Information
Research environmental impact of industrial or development activities.,0.2489100815005858,Investigate the environmental impact of industrial or development activities.,Getting Information
Research genetic characteristics or expression.,-0.003994265843926925,Research biological or ecological phenomena.,Getting Information
Research geological features or processes.,-0.16204953489976814,Research issues related to earth sciences.,Getting Information
Research human performance or health factors related to engineering or design activities.,-0.15257370687349292,Research technology designs or applications.,Getting Information
Research hydrologic features or processes.,-0.023685414896863488,Research issues related to earth sciences.,Getting Information
Research impacts of environmental conservation initiatives.,0.28682420806211795,Investigate the environmental impact of industrial or development activities.,Getting Information
Research industrial processes or operations.,-0.05794322117043693,"Research organizational behavior, processes, or performance.",Getting Information
Research issues related to the environment or sustainable business practices.,-0.10955701845269239,Investigate the environmental impact of industrial or development activities.,Getting Information
Research livestock management methods.,0.19329266088616048,Research agricultural processes or practices.,Getting Information
Research methods to improve food products.,0.010349569366329803,Research technology designs or applications.,Getting Information
Research microbiological or chemical processes or structures.,0.0,Research biological or ecological phenomena.,Getting Information
Research new technologies.,-0.1683124164736869,Research technology designs or applications.,Getting Information
Research product safety.,0.0,Research technology designs or applications.,Getting Information
Research relevant legal materials to aid decision making.,0.6220331073303256,Consult legal materials or public records.,Getting Information
Research social issues.,0.005525090496444118,na,na
Research sustainable agricultural processes or practices.,0.04169035042452185,Research agricultural processes or practices.,Getting Information
Research topics in area of expertise.,1.143422419320709,Maintain current knowledge in area of expertise.,Updating and Using Relevant Knowledge
Reshape metal workpieces to established specifications.,0.00635496537748681,Shape materials to create products.,Handling and Moving Objects
Reshape small metal components for precision assembly.,0.0,Shape materials to create products.,Handling and Moving Objects
Resolve computer network problems.,-0.018655933054821716,Resolve computer problems.,Interacting With Computers
Resolve computer software problems.,-0.0126732696518701,Resolve computer problems.,Interacting With Computers
Resolve customer complaints or problems.,0.4479581894120348,Respond to customer problems or inquiries.,Performing for or Working Directly with the Public
Resolve employee or contractor problems.,0.1761674524101955,Resolve personnel or operational problems.,Resolving Conflicts and Negotiating with Others
Resolve interpersonal conflicts.,0.06578316151976793,Mediate disputes.,Resolving Conflicts and Negotiating with Others
Resolve issues affecting transportation operations.,0.0258777427542336,Resolve personnel or operational problems.,Resolving Conflicts and Negotiating with Others
Resolve operational performance problems.,0.5580384219915517,Resolve personnel or operational problems.,Resolving Conflicts and Negotiating with Others
Resolve personnel problems.,0.034814399241448246,Resolve personnel or operational problems.,Resolving Conflicts and Negotiating with Others
Respond to customer inquiries.,-0.10890928316704951,Respond to customer problems or inquiries.,Performing for or Working Directly with the Public
Respond to customer problems or complaints.,0.8121770684803371,Respond to customer problems or inquiries.,Performing for or Working Directly with the Public
Respond to emergencies to provide assistance.,0.1529198429650096,Intervene in crisis situations or emergencies.,Assisting and Caring for Others
Respond to transportation emergencies.,0.0623559301796357,Intervene in crisis situations or emergencies.,Assisting and Caring for Others
Retrieve information from electronic sources.,0.0,Gather information from physical or electronic sources.,Getting Information
Review accuracy of sales or other transactions.,-0.0020028069295676687,Evaluate the quality or accuracy of data.,Processing Information
Review art or design materials.,-0.052558423269964294,Study details of artistic productions.,Getting Information
Review blueprints or other instructions to determine operational methods or sequences.,0.5708300752643534,Read documents or materials to inform work processes.,Getting Information
Review blueprints or specifications to determine work requirements.,-0.977804125318118,Read documents or materials to inform work processes.,Getting Information
Review customer information.,0.0036865090713638082,Read documents or materials to inform work processes.,Getting Information
Review customer insurance information.,-0.012018543453969244,"Examine financial activities, operations, or systems.",Evaluating Information to Determine Compliance with Standards
Review details of technical drawings or specifications.,-0.05144084461475407,Read documents or materials to inform work processes.,Getting Information
Review documents or materials for compliance with policies or regulations.,-0.36849653663372894,Examine materials or documentation for accuracy or compliance.,Evaluating Information to Determine Compliance with Standards
"Review environmental permits, plans, or reports.",0.016447578016799635,Examine materials or documentation for accuracy or compliance.,Evaluating Information to Determine Compliance with Standards
Review laws or regulations to maintain professional knowledge.,0.021297853521886623,Maintain current knowledge in area of expertise.,Updating and Using Relevant Knowledge
Review license or permit applications.,0.025276747681822087,Examine materials or documentation for accuracy or compliance.,Evaluating Information to Determine Compliance with Standards
Review plans or proposals for environmental conservation.,0.11227534720756438,Examine materials or documentation for accuracy or compliance.,Evaluating Information to Determine Compliance with Standards
Review production information to determine costume or makeup requirements.,0.2745216535311785,Study details of artistic productions.,Getting Information
Review professional literature to maintain professional knowledge.,0.24378391253078036,Maintain current knowledge in area of expertise.,Updating and Using Relevant Knowledge
Review technical documents to plan work.,-0.005807727813510688,Read documents or materials to inform work processes.,Getting Information
Review work orders or schedules to determine operations or procedures.,0.5272741480885896,Read documents or materials to inform work processes.,Getting Information
Rewire electrical or electronic systems.,0.0032479512226042395,Connect components or supply lines to equipment or tools.,Handling and Moving Objects
Route mail to correct destinations.,0.0642435121806817,Process shipments or mail.,Performing Administrative Activities
Rule on admissibility of legal proceedings.,-0.04620622553372655,Make legal decisions.,Making Decisions and Solving Problems
Run wiring to connect equipment.,0.016815692937851345,Connect components or supply lines to equipment or tools.,Handling and Moving Objects
Schedule activities or facility use.,-0.0023778562633962608,Prepare schedules for services or facilities.,Scheduling Work and Activities
Schedule agricultural or forestry work.,-0.7856027415983404,Schedule operational activities.,Scheduling Work and Activities
Schedule appointments with prospective customers.,0.011750577686702623,Schedule appointments.,Scheduling Work and Activities
Schedule appointments.,-0.09418988031074171,Schedule appointments.,Scheduling Work and Activities
Schedule dining reservations.,-0.006446028899063094,Prepare schedules for services or facilities.,Scheduling Work and Activities
Schedule equipment maintenance.,-0.0651415685319221,Schedule operational activities.,Scheduling Work and Activities
Schedule instructional activities.,-0.17039055969322847,Schedule operational activities.,Scheduling Work and Activities
Schedule medical facility use.,0.0,Prepare schedules for services or facilities.,Scheduling Work and Activities
Schedule operational activities.,-0.41443465883959085,Schedule operational activities.,Scheduling Work and Activities
Schedule patient procedures or appointments.,-0.3143644206696119,Schedule appointments.,Scheduling Work and Activities
Schedule product or material transportation.,0.04139023073775361,Schedule operational activities.,Scheduling Work and Activities
"Schedule repair, installation or maintenance activities.",-0.004434800999222777,Schedule operational activities.,Scheduling Work and Activities
Seal gaps or cracks to prevent leakage or moisture intrusion.,0.09716459224597562,Apply materials to fill gaps or imperfections.,Handling and Moving Objects
"Search files, databases or reference materials to obtain needed information.",0.017284961650475772,Gather information from physical or electronic sources.,Getting Information
Search individuals for illegal or dangerous items.,0.027305686030110632,Maintain safety or security.,Performing General Physical Activities
Search information sources to find specific data.,-0.12309493976287644,Gather information from physical or electronic sources.,Getting Information
Secure cargo.,-0.1766787562604124,"Load products, materials, or equipment for transportation or further processing.",Performing General Physical Activities
"Secure watercraft to docks, wharves or other vessels.",-0.030979155117428547,Tend watercraft.,Handling and Moving Objects
Select construction equipment.,0.09221012843666543,Select materials or equipment for operations or projects.,Making Decisions and Solving Problems
Select construction materials.,-0.03300432384899876,Select materials or equipment for operations or projects.,Making Decisions and Solving Problems
Select educational materials or equipment.,0.0221263907033995,Select materials or equipment for operations or projects.,Making Decisions and Solving Problems
"Select equipment, materials, or supplies for cleaning or maintenance activities.",0.021143570135379264,Select materials or equipment for operations or projects.,Making Decisions and Solving Problems
Select materials or props.,-1.0956287808768685,Select materials or equipment for operations or projects.,Making Decisions and Solving Problems
Select production equipment according to product specifications.,-0.2397841502992617,Select materials or equipment for operations or projects.,Making Decisions and Solving Problems
Select production input materials.,-0.4253046595798575,Select materials or equipment for operations or projects.,Making Decisions and Solving Problems
Select project materials.,-0.05727968416237417,Select materials or equipment for operations or projects.,Making Decisions and Solving Problems
Select resources needed to accomplish tasks.,0.16242659441508378,Select materials or equipment for operations or projects.,Making Decisions and Solving Problems
"Select staff, team members, or performers.",-0.13307881556401036,Perform recruiting or hiring activities.,Staffing Organizational Units
"Select tools, equipment, or technologies for use in operations or projects.",0.003445772876655262,Select materials or equipment for operations or projects.,Making Decisions and Solving Problems
Sell agricultural products.,0.2633386172081611,Sell products or services.,Selling or Influencing Others
Sell products or services.,-2.0900186837840895,Sell products or services.,Selling or Influencing Others
"Send information, materials or documentation.",-0.047215246773514075,Process shipments or mail.,Performing Administrative Activities
Serve court ordered documents.,-0.0350402196815951,Perform court-related or other legal administrative activities.,Performing Administrative Activities
Serve food or beverages.,-0.08360616059672665,Provide food or beverage services.,Performing General Physical Activities
Serve on institutional or departmental committees.,-0.39185178418689537,Serve on organizational committees.,"Guiding, Directing, and Motivating Subordinates"
Service green vehicles to make repairs or maintain good working order.,0.012285325894946464,Maintain vehicles in working condition.,Repairing and Maintaining Mechanical Equipment
"Service heating, ventilation or air-conditioning (HVAC) systems or components.",0.006890943023362794,Maintain facilities or equipment.,Repairing and Maintaining Mechanical Equipment
Service vehicles to maintain functionality.,0.04599616134918039,Maintain vehicles in working condition.,Repairing and Maintaining Mechanical Equipment
Set equipment controls to meet cutting specifications.,0.6369838262671257,Adjust equipment to ensure adequate performance.,Handling and Moving Objects
"Set equipment guides, stops, spacers, or other fixtures.",0.15740203215613713,Set up equipment.,Handling and Moving Objects
Set up classroom materials or equipment.,0.09483501579968845,"Set up classrooms, facilities, educational materials, or equipment.",Handling and Moving Objects
Set up laboratory or field equipment.,0.2513692572173887,Set up equipment.,Handling and Moving Objects
"Set up material handling gear or equipment, such as rigging, packaging, or temporary structures.",0.1935902897649111,Set up equipment.,Handling and Moving Objects
Set up merchandise displays.,-0.3079849580586136,Arrange displays or decorations.,Handling and Moving Objects
Set up still or video cameras or related equipment.,-0.1604024646518969,Set up equipment.,Handling and Moving Objects
Sew clothing or other articles.,0.24431524108268032,Sew garments or materials.,Handling and Moving Objects
Sew materials.,0.0,Sew garments or materials.,Handling and Moving Objects
Shape clay or dough to create products.,0.1654443503914318,Shape materials to create products.,Handling and Moving Objects
Shape glass or similar materials.,-0.0033605706422576986,Shape materials to create products.,Handling and Moving Objects
Shape metal workpieces with hammers or other small hand tools.,0.030510691333687667,Shape materials to create products.,Handling and Moving Objects
Shape surfaces or edges of wood workpieces.,0.046632306091153986,Shape materials to create products.,Handling and Moving Objects
